vehicle,confidence,x,y,width,height,area
car,0.8714126944541931,287.58753204345703,537.0400848388672,89.15678405761719,81.02676391601562,7224.0856933477335
car,0.8278141021728516,98.08558312058449,633.7447204589844,194.84595412015915,83.97625732421875,16362.433981777405
car,0.8260390758514404,306.0923309326172,479.48785400390625,93.87368774414062,76.697021484375,7199.832245729864
car,0.8207994103431702,277.38243865966797,649.3319396972656,151.56141662597656,52.88250732421875,8014.947724792175
car,0.7790386080741882,318.82884216308594,312.11663818359375,71.51388549804688,62.9920654296875,4504.807354424149
car,0.7704050540924072,597.6933288574219,609.86962890625,133.48858642578125,107.8394775390625,14395.33941758424
car,0.7681002020835876,329.1448669433594,410.36688232421875,78.437255859375,61.9393310546875,4858.351157695055
car,0.7652674913406372,234.65618896484375,597.3229675292969,133.50390625,137.42547607421875,18346.837874174118
bus,0.6994307041168213,327.3775939941406,223.25788116455078,74.42010498046875,81.12889099121094,6037.620584514923
car,0.6828716397285461,537.5847473144531,654.1952209472656,141.54742431640625,42.97357177734375,6082.798398759216
car,0.6661651730537415,516.6038665771484,319.30584716796875,70.57693481445312,53.793701171875,3796.5945410355926
car,0.6190730929374695,424.6783752441406,610.89013671875,122.2822265625,97.4166259765625,11912.321928620338
car,0.6161198616027832,458.91119384765625,544.7404327392578,91.56915283203125,97.22994995117188,8903.264146929607
car,0.5699900984764099,466.2898864746094,449.02392578125,83.43109130859375,105.35223388671875,8789.651844967157
car,0.5598068833351135,310.6143341064453,367.1509246826172,64.88290405273438,61.168182373046875,3968.7693079905584
car,0.5369861721992493,220.41924285888672,266.00018310546875,54.43214416503906,38.5618896484375,2099.0063366200775
car,0.49373680353164673,231.99745178222656,443.8162078857422,118.53921508789062,98.54855346679688,11681.868176001124
car,0.47064632177352905,189.46487426757812,417.63499450683594,97.777587890625,90.18515014648438,8818.086444877088
car,0.44353169202804565,375.7707977294922,106.31768798828125,33.413421630859375,29.14166259765625,973.722659399733
car,0.3941219449043274,364.26361083984375,137.80503463745117,23.77374267578125,28.412513732910156,675.471790258307
car,0.35496917366981506,615.1703491210938,318.5457000732422,73.9718017578125,32.451690673828125,2400.510029230267
car,0.347291499376297,420.8346405029297,314.6915283203125,75.43740844726562,58.52117919921875,4414.68609806709
car,0.3463020622730255,566.5462341308594,256.2301559448242,41.26116943359375,54.56098937988281,2251.250227267854
bus,0.3337406814098358,649.54345703125,204.13644409179688,52.345458984375,105.35565185546875,5514.889952972531
car,0.32712292671203613,450.66693115234375,380.3206481933594,77.15484619140625,60.1727294921875,4642.617688886821
car,0.3204270303249359,633.080810546875,584.6839599609375,85.242919921875,127.9119873046875,10903.591290861368
bus,0.31191152334213257,383.423583984375,244.35651397705078,48.93743896484375,84.98777770996094,4159.0841844389215
car,0.30212095379829407,432.39544677734375,302.04188537597656,59.68780517578125,68.99771118164062,4118.321942584589
car,0.30172377824783325,600.2570495605469,273.7702331542969,75.31329345703125,81.91339111328125,6169.1672629751265
car,0.29754307866096497,136.59529495239258,508.71485900878906,114.47689056396484,93.26486206054688,10676.671407568501
car,0.2818107604980469,430.81976318359375,149.32778930664062,40.3795166015625,35.213409423828125,1421.9004504270852
car,0.2777997553348541,433.8861389160156,379.6070251464844,110.39495849609375,73.24737548828125,8086.140976976603
car,0.2738737463951111,657.1812133789062,243.41265869140625,37.1767578125,44.15966796875,1641.7132811546326
bus,0.2735673785209656,457.0558776855469,234.35533142089844,82.62939453125,81.06338500976562,6698.218422010541
car,0.2676415741443634,603.1834106445312,367.5903778076172,136.4581298828125,73.52578735351562,10033.191440422088
car,0.2536696493625641,321.9720001220703,281.6346435546875,58.823394775390625,32.24359130859375,1896.6775005217642
car,0.2525067925453186,445.8624725341797,640.2283630371094,51.005889892578125,35.77728271484375,1824.852142808959
